Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Араджи | 6 stars | 107 | 146039,2751085,6547080,0,,,Эдем | 6 stars | 130 | 220795,4471896,2072832,0,
,,,Игнис | 6 stars | 100 | 116311,2407406,7913621,0,,,Сильва | 6 stars | 130 | 237472,4446045,2140125,0,
,,,Эдем | 6 stars | 80 | 56255,1986126,5167987,0,,,Авалон | 6 stars | 130 | 220768,3785429,1959323,0,
,,,Молох | 6 stars | 70 | 99705,1191119,6934252,0,,,Вердок и Фито | 6 stars | 130 | 204020,2523220,1197407,0,
,,,Тотем Духа Огня | 5 stars | 121,12007495,0,2316895,,,Тотем Духа Земли | 6 stars | 130,7370469,12016958,0,

Врата Природы (Позиция 1),Поражение,+2,Kamul27rus (130-389305),,,,,,Hachi (130-1120606),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 82 | 89176,4367156,8397840,0,,,Сильва | 6 stars | 130 | 237472,9088266,746003,0,
,,,Араджи | 6 stars | 91 | 72638,3930870,4367101,0,,,Авалон | 6 stars | 130 | 220768,5158378,2655744,0,
,,,Гиперион | 6 stars | 82 | 91079,2183091,7494897,785083,,,Эдем | 6 stars | 130 | 220795,4629385,0,0,
,,,Вердок и Фито | 5 stars | 100 | 79679,904636,8236555,0,,,Ангус | 6 stars | 130 | 237551,4448476,1447345,0,
,,,Сигурд | 6 stars | 80 | 56733,124970,4450189,0,,,Вердок и Фито | 6 stars | 130 | 204020,3975310,838090,0,
,,,Тотем Духа Земли | 5 stars | 108,0,3838304,0,,,Тотем Духа Земли | 6 stars | 130,6542742,7615491,0,

Врата Природы (Позиция 1),Победа,+13,Wren (130-917346),,,,,,Hachi (130-1120606),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 208671,15148573,16653533,0,,,Эдем | 6 stars | 130 | 220795,45234657,6817080,0,
,,,Ангус | 6 stars | 130 | 212799,9170835,19463545,0,,,Сильва | 6 stars | 130 | 237472,13978559,3113535,0,
,,,Сильва | 6 stars | 130 | 203672,8304107,13566563,0,,,Вердок и Фито | 6 stars | 130 | 204020,10500414,8276558,0,
,,,Авалон | 6 stars | 130 | 208378,6682054,17394207,0,,,Авалон | 6 stars | 130 | 220768,9844140,9493539,0,
,,,Вердок и Фито | 5 stars | 49 | 83826,2413168,9448769,0,,,Ангус | 6 stars | 130 | 237551,0,0,0,
,,,Тотем Духа Земли | 6 stars | 130,11006674,51134561,0,,,Тотем Духа Земли | 6 stars | 130,22075926,54789967,0,

Врата Природы,Укрепление захвачено,+200
Источник Стихий (Позиция 4),Победа,+35,3.14_ZDETS (130-984198),,,,,,Team SA two 3 (130-1077552),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Амон | 6 stars | 130 | 165451,16822328,11182684,0,,,Тенебрис | 6 stars | 130 | 284795,36994423,16670214,10781454,
,,,Гиперион | 6 stars | 130 | 205470,16066339,10055525,3914072,,,Брустар | 6 stars | 130 | 224088,6354573,14441762,0,
,,,Солярис | 6 stars | 130 | 198539,11394086,10381006,2897138,,,Игнис | 6 stars | 130 | 185022,4334131,12210701,0,
,,,Нова | 6 stars | 130 | 200400,7052648,10968533,0,,,Араджи | 6 stars | 130 | 195750,2955376,8170563,0,
,,,Сигурд | 6 stars | 130 | 214338,6311130,22207585,0,,,Молох | 6 stars | 130 | 187897,2023684,12203414,0,
,,,Тотем Духа Воды | 6 stars | 129,2101195,3400762,12510440,,,Тотем Духа Тьмы | 4 stars | 78,11196078,0,998400,
,,,Тотем Духа Света | 3 stars | 110,3948928,0,0,,,Тотем Духа Огня | 2 stars | 95,4337830,0,0,

Источник Стихий (Позиция 3),Поражение,+28,3.14_ZDETS (130-638461),,,,,,Team suzu (130-1008743),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 199804,25799302,13281456,6294227,,,Тенебрис | 6 stars | 130 | 283761,19689160,2968736,4673667,
,,,Араджи | 6 stars | 130 | 144711,6783854,10381274,0,,,Эдем | 6 stars | 130 | 199095,10936407,13937641,0,
,,,Маири | 6 stars | 130 | 138909,4740994,11045012,0,,,Араджи | 6 stars | 130 | 198617,5307919,8411261,0,
,,,Ияри | 6 stars | 120 | 82272,3832176,9371765,2283491,,,Игнис | 6 stars | 130 | 142626,3671236,9571874,0,
,,,Ригель | 6 stars | 106 | 72765,904364,7881978,0,,,Молох | 6 stars | 130 | 184644,1399786,10089255,0,
,,,Тотем Духа Света | 3 stars | 110,2918077,0,0,,,Тотем Духа Огня | 3 stars | 107,10956977,0,679714,

Источник Стихий (Позиция 1),Победа,+35,Wren (130-767101),,,,,,Mosida (130-921887),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 189758,17899632,13737259,2223393,,,Тенебрис | 6 stars | 130 | 216833,8865540,11996045,4523264,
,,,Тенебрис | 6 stars | 130 | 207763,14288071,6377720,6512296,,,Нова | 6 stars | 130 | 188390,8172451,9313028,0,
,,,Араджи | 6 stars | 130 | 129296,12597317,11085435,0,,,Гиперион | 6 stars | 130 | 176640,5437565,14660895,1566614,
,,,Амон | 6 stars | 130 | 162742,8491318,8536532,0,,,Араджи | 6 stars | 130 | 167053,4056809,10327126,0,
,,,Ригель | 6 stars | 90 | 77542,4049722,7223923,0,,,Маири | 6 stars | 130 | 172971,3774832,12520277,0,
,,,Тотем Духа Света | 3 stars | 108,1491311,0,0,,,Тотем Духа Воды | 6 stars | 100,16653672,0,7930320,

Стрельбище (Позиция 3),Победа,+35,3.14_ZDETS (130-941750),,,,,,pphrla (130-1118162),Снижение входящего урона (33%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айзек | Красный +2 | 6 stars | 130 | 159895,1339005,349571,1278570,Аксель | 11064,,Орион | Красный +2 | 6 stars | 130 | 207386,2083249,593550,0,Хорус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 167471,675290,1180794,170740,Бисквит | 4014,,Данте | Красный +2 | 6 stars | 130 | 173186,746908,645201,0,
,,,Хайди | Красный +2 | 6 stars | 130 | 201129,497927,429712,189824,Каин | 10154,,Тея | Красный +2 | 6 stars | 130 | 175666,125451,696914,359209,Мерлин | 11064
,,,Астарот | Красный +2 | 6 stars | 130 | 179636,93820,1041764,264174,Оливер | 4773,,Себастьян | Красный +2 | 6 stars | 130 | 190331,49071,607737,0,
,,,Дориан | Оранжевый | 6 stars | 130 | 77692,29739,258417,27351,Мерлин | 4635,,Небула | Красный +2 | 6 stars | 130 | 189650,4395,545471,59062,
,,,Альбус | Фиолетовый +3 | 5 stars | 130 | 155927,460709,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,243567,0,0,

Бастион Огня (Позиция 3),Победа,+35,G_G (130-927956),,,,,,monologue (130-1234413),Увеличение здоровья (120%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 110 | 125928,20837204,15832022,5163814,,,Брустар | 6 stars | 130 | 251900,9767156,38692980,0,
,,,Амон | 6 stars | 130 | 215344,19218196,8705169,1717726,,,Араджи | 6 stars | 130 | 216594,8363632,18052508,0,
,,,Тенебрис | 6 stars | 130 | 204590,17082955,17707304,7836560,,,Тенебрис | 6 stars | 130 | 313909,6073184,29808796,4913488,
,,,Ригель | 6 stars | 130 | 201097,5060883,15201779,0,,,Ашерона и Пиро | 6 stars | 130 | 200207,3401451,21513926,0,
,,,Мор | 6 stars | 130 | 180997,3177977,16223291,467340,,,Мор | 6 stars | 130 | 251803,2409345,35641339,0,
,,,Тотем Духа Тьмы | 6 stars | 130,69297770,0,0,,,Тотем Духа Огня | 6 stars | 130,9838015,0,2340000,
,,,Тотем Духа Света | 6 stars | 130,9034564,0,0,,,Тотем Духа Тьмы | 6 stars | 130,33816782,0,0,

Маяк (Позиция 2),Победа,+31,Nergal (130-1028403),,,,,,norasann (130-1176308),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Ясмин | Красный +2 | 6 stars | 130 | 193643,3671834,179977,0,Каин | 4773,,Айзек | Красный +2 | 6 stars | 130 | 192303,1113654,672832,0,Оливер | 11064
,,,Корвус | Красный +2 | 6 stars | 130 | 180638,259868,954337,0,Бисквит | 4773,,Ясмин | Красный +2 | 6 stars | 130 | 200664,768873,532849,0,Каин | 9470
,,,Айзек | Красный +2 | 6 stars | 130 | 163125,29899,433312,0,Оливер | 5715,,Себастьян | Красный +2 | 6 stars | 130 | 203138,657782,742472,0,Фенрис | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 175736,19192,634903,454830,Аксель | 4773,,Астарот | Красный +2 | 6 stars | 130 | 200873,396679,1960468,119326,Бисквит | 11064
,,,Фафнир | Красный +2 | 6 stars | 130 | 133318,0,795611,0,Мара | 4773,,Марта | Красный +2 | 6 stars | 130 | 197387,61152,2354640,3007086,Аксель | 11064
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,2282468,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Бастион Огня (Позиция 4),Поражение,+31,G_G (130-853312),,,,,,Oinari (130-1257448),Увеличение здоровья (120%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 203041,24550059,11587822,1154622,,,Молох | 6 stars | 130 | 241997,6253519,26298389,524417,
,,,Брустар | 6 stars | 130 | 227589,17729701,22427956,0,,,Тенебрис | 6 stars | 130 | 313909,4439877,20756642,3934875,
,,,Араджи | 6 stars | 130 | 150777,7304761,8205682,0,,,Араджи | 6 stars | 130 | 224845,3925719,17030055,0,
,,,Ияри | 6 stars | 130 | 188801,4856619,12013480,3469015,,,Игнис | 6 stars | 130 | 224894,3686316,21926540,425344,
,,,Керос | 6 stars | 67 | 83104,2836880,7047094,0,,,Мор | 6 stars | 130 | 251803,2387835,29490734,0,
,,,Тотем Духа Тьмы | 6 stars | 130,48641148,0,0,,,Тотем Духа Тьмы | 6 stars | 130,3715531,0,0,
,,,Тотем Духа Света | 6 stars | 130,9583192,0,0,,,Тотем Духа Огня | 6 stars | 130,36873237,0,0,

Источник Стихий (Позиция 2),Победа,+4,Бесенок Ната (130-533201),,,,,,DUHAayanami (130-888282),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 161062,2421954,0,0,,,Эдем | 6 stars | 130 | 170893,1392142,5672711,0,
,,,Молох | 6 stars | 130 | 97362,1673250,1935916,0,,,Авалон | 6 stars | 130 | 136798,543774,1035464,0,
,,,Игнис | 6 stars | 130 | 108941,1435452,0,0,,,Брустар | 6 stars | 130 | 195811,0,0,0,
,,,Ашерона и Пиро | 6 stars | 100 | 93137,926748,0,0,,,Тенебрис | 6 stars | 130 | 229460,0,0,0,
,,,Вердок и Фито | 5 stars | 95 | 72699,250771,0,0,,,Ангус | 6 stars | 130 | 155320,0,0,0,
,,,Тотем Духа Огня | 2 stars | 84,0,0,0,,,,,,,

Литейная (Позиция 3),Победа,+35,NAGIBATOR (130-1044946),,,,,,CFJSJH2-1-2 (130-827479),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 198772,6292883,730074,823642,Аксель | 8518,,Корвус | Красный +2 | 6 stars | 130 | 199175,1278436,2286419,0,Альбус | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 187892,1332821,304972,27308,Каин | 7422,,Электра фон Грейв | Красный | 6 stars | 130 | 86914,104521,2781481,343279,Оливер | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 170926,515603,238042,54137,Фенрис | 6894,,Астарот | Красный +2 | 6 stars | 130 | 154422,56552,1756388,89627,
,,,Дориан | Красный +2 | 6 stars | 130 | 168720,429431,341813,511738,,,Юлиус | Красный +2 | 6 stars | 130 | 136281,18007,822391,264405,Аксель | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 172616,137425,77014,86572,,,Галахад | Красный | 6 stars | 130 | 68744,6092,833177,0,
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 146020,0,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,461820,

Источник Стихий (Позиция 3),Поражение,0,2 718 (130-457620),,,,,,Team suzu (130-1008743),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ияри | 6 stars | 101 | 138255,948003,10068208,0,,,Тенебрис | 6 stars | 130 | 283761,35673213,2474574,2575865,
,,,Тенебрис | 6 stars | 82 | 94229,776631,5407649,1116359,,,Араджи | 6 stars | 130 | 198617,0,0,0,
,,,Вердок и Фито | 5 stars | 100 | 80214,749940,7261756,0,,,Эдем | 6 stars | 130 | 199095,0,0,0,
,,,Ангус | 6 stars | 82 | 66224,0,6681541,0,,,Молох | 6 stars | 130 | 184644,0,0,0,
,,,Ригель | 6 stars | 83 | 78698,0,6254059,0,,,Игнис | 6 stars | 130 | 142626,0,0,0,
,,,Тотем Духа Земли | 1 stars | 25,0,0,0,,,,,,,
,,,Тотем Духа Света | 1 stars | 80,0,0,0,,,,,,,

Стрельбище (Позиция 5),Победа,+35,2 718 (130-839095),,,,,,Team SA two 3 (130-1009536),Снижение входящего урона (33%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Себастьян | Красный +2 | 6 stars | 130 | 157929,1772563,241257,716842,Альбус | 6779,,Кира | Красный +2 | 6 stars | 130 | 194245,1906050,439087,53762,Векс | 11064
,,,Лара Крофт | Красный +2 | 4 stars | 130 | 156964,875114,205238,394804,Фенрис | 6908,,Джу | Красный +2 | 6 stars | 130 | 187643,894895,947282,0,Альбус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 142719,368264,1228231,192389,Оливер | 6457,,Лара Крофт | Красный +2 | 5 stars | 130 | 134979,252660,351091,80091,Фенрис | 9018
,,,Эйден | Красный +1 | 6 stars | 130 | 122886,161725,1202751,184817,Хорус | 6894,,Эйден | Красный +2 | 6 stars | 130 | 175393,56438,776485,147218,Хорус | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 139555,53763,195911,130529,Каин | 6030,,Данте | Красный +2 | 6 stars | 130 | 135333,22346,776485,0,Каин | 8682
,,,Аксель | Фиолетовый +2 | 5 stars | 130 | 119042,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Стрельбище (Позиция 4),Победа,+35,Виларт (130-984321),,,,,,senngoku (130-1149888),Снижение входящего урона (33%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 182094,2608330,587379,379767,Векс | 9498,,Данте | Красный +2 | 6 stars | 130 | 206282,2221754,523444,0,Каин | 11064
,,,Исмаил | Красный +2 | 6 stars | 130 | 197355,2580381,996815,496532,Фенрис | 4313,,Джу | Красный +2 | 6 stars | 130 | 201962,1232166,2263888,561069,Векс | 9428
,,,Эйден | Красный +2 | 6 stars | 130 | 148976,446723,996815,591609,Хорус | 9244,,Себастьян | Красный +2 | 6 stars | 130 | 190331,511916,810994,0,
,,,Марта | Красный +2 | 6 stars | 130 | 146425,18473,999105,1510497,Аксель | 11064,,Небула | Красный +2 | 6 stars | 130 | 174429,80851,763590,344352,
,,,Фафнир | Красный +2 | 6 stars | 130 | 127528,0,364641,0,Оливер | 6066,,Марта | Красный +2 | 6 stars | 130 | 194941,0,1393923,610509,Аксель | 9428
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,878944,

Стрельбище (Позиция 1),Победа,+35,Виларт (130-1114859),,,,,,Hachi (130-1145181),Снижение входящего урона (33%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Себастьян | Красный +2 | 6 stars | 130 | 176306,1449418,547301,0,Альбус | 5306,,Орион | Красный +2 | 6 stars | 130 | 207386,1143951,504563,0,Мерлин | 11064
,,,К'арх | Красный +2 | 6 stars | 130 | 204998,940897,403471,593669,Векс | 9498,,Каскад | Красный +2 | 6 stars | 130 | 179268,736454,448915,0,
,,,Лирия | Красный +2 | 6 stars | 130 | 182633,309385,680699,119328,Оливер | 6066,,Август | Красный +2 | 6 stars | 130 | 180517,584043,613515,0,
,,,Астарот | Красный +2 | 6 stars | 130 | 182842,7876,961608,136187,Аксель | 11064,,Данте | Красный +2 | 6 stars | 130 | 206282,164293,449732,0,Каин | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 186137,0,399938,0,Каин | 3943,,Дориан | Красный +2 | 6 stars | 130 | 189785,71049,690851,0,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Мерлин | Фиолетовый +3 | 6 stars | 130 | 181943,293227,0,0,

Источник Стихий (Позиция 3),Победа,+7,Bugzi (130-816377),,,,,,Team suzu (130-1008743),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ашерона и Пиро | 6 stars | 130 | 153227,2718321,0,0,,,Тенебрис | 6 stars | 130 | 283761,14835620,9382968,1045370,
,,,Араджи | 6 stars | 130 | 161262,2161728,0,0,,,Араджи | 6 stars | 130 | 198617,0,0,0,
,,,Ангус | 6 stars | 130 | 161112,1773653,14835620,0,,,Эдем | 6 stars | 130 | 199095,0,0,0,
,,,Эдем | 6 stars | 130 | 170670,1416714,0,0,,,Молох | 6 stars | 130 | 184644,0,0,0,
,,,Вердок и Фито | 6 stars | 130 | 170106,1312552,0,0,,,Игнис | 6 stars | 130 | 142626,0,0,0,
,,,Тотем Духа Огня | 3 stars | 94,0,0,0,,,,,,,
,,,Тотем Духа Земли | 5 stars | 110,0,0,0,,,,,,,

Источник Стихий,Укрепление захвачено,+140
Стрельбище (Позиция 2),Победа,+35,Bugzi (130-1044397),,,,,,RPG (130-1161988),Снижение входящего урона (33%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 200456,1598422,118387,0,Каин | 10154,,Данте | Красный +2 | 6 stars | 130 | 204819,564013,449732,0,Каин | 11064
,,,Август | Красный +2 | 6 stars | 130 | 178603,556288,181214,177461,Хорус | 11064,,Сорвиголова | Красный +2 | 6 stars | 130 | 179173,378736,500355,0,Векс | 11064
,,,Орион | Красный +2 | 6 stars | 130 | 184479,426048,387509,386258,Аксель | 8896,,Небула | Красный +2 | 6 stars | 130 | 184178,0,515216,0,
,,,Небула | Красный +2 | 6 stars | 130 | 179205,5042,245631,0,,,Себастьян | Красный +2 | 6 stars | 130 | 193894,0,592862,0,Альбус | 11064
,,,Дориан | Красный +2 | 6 stars | 130 | 119711,2657,10008,3055,Мерлин | 5766,,Лара Крофт | Красный +2 | 6 stars | 130 | 217981,0,530292,0,Мара | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Каин | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Стрельбище,Укрепление захвачено,+235
Литейная (Позиция 4),Победа,+35,Оди (130-1148972),,,,,,Mosida (130-1134854),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 200645,5765919,2652616,2419039,Фенрис | 7804,,Корвус | Красный +2 | 6 stars | 130 | 198926,1430978,2607179,59742,Оливер | 11064
,,,Хайди | Красный +2 | 6 stars | 130 | 202116,2006100,404090,0,Альбус | 11064,,Лара Крофт | Красный +2 | 6 stars | 130 | 208106,1336209,1398159,86144,
,,,Эйден | Красный +2 | 6 stars | 130 | 188488,667278,2652616,382548,Хорус | 9428,,Кира | Красный +2 | 6 stars | 130 | 187286,1199872,1288265,169647,Векс | 10238
,,,Небула | Красный +2 | 6 stars | 130 | 195548,36932,269455,179773,Каин | 6949,,Лирия | Красный +2 | 6 stars | 130 | 191015,77952,2373313,1818,Бисквит | 11064
,,,Фафнир | Красный +2 | 6 stars | 130 | 189230,0,148766,0,Мара | 10532,,Морриган | Красный +2 | 6 stars | 130 | 167578,9462,1347553,324654,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 172945,538240,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,2073070,0,0,

Литейная,Укрепление захвачено,+235
Бастион Огня (Позиция 4),Поражение,+3,Тема (130-540177),,,,,,Oinari (130-1257448),Увеличение здоровья (120%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 134712,6039032,12154224,1305241,,,Тенебрис | 6 stars | 130 | 313909,29947616,11531832,4826558,
,,,Игнис | 6 stars | 130 | 95426,4026858,7270110,0,,,Мор | 6 stars | 130 | 251803,1591890,5092674,0,
,,,Ашерона и Пиро | 6 stars | 120 | 110981,2023620,8479663,0,,,Молох | 6 stars | 130 | 241997,0,0,0,
,,,Маири | 6 stars | 123 | 74772,1528608,6366253,0,,,Араджи | 6 stars | 130 | 224845,0,0,0,
,,,Сигурд | 6 stars | 130 | 124286,618748,12215328,0,,,Игнис | 6 stars | 130 | 224894,0,0,0,
,,,Тотем Духа Воды | 2 stars | 70,800000,0,800000,,,Тотем Духа Тьмы | 6 stars | 130,14946072,0,0,
,,,Тотем Духа Огня | 3 stars | 80,1587640,0,0,,,,,,,

Маяк (Позиция 5),Поражение,+19,Тема (130-1027686),,,,,,Alchemists (130-1190903),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 193500,1492832,672105,331417,Хорус | 9428,,К'арх | Красный +2 | 6 stars | 130 | 202702,1393658,343122,138016,Мара | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 189981,742539,327207,0,Каин | 7062,,Корвус | Красный +2 | 6 stars | 130 | 202376,539034,611486,0,Альбус | 11064
,,,Август | Красный +2 | 6 stars | 130 | 167581,393582,557248,148858,Альбус | 9428,,Морриган | Красный +2 | 6 stars | 130 | 202558,387971,625031,56729,Аксель | 11064
,,,Дориан | Красный +2 | 6 stars | 130 | 157751,2678,389589,0,Аксель | 8518,,Марта | Красный +2 | 6 stars | 130 | 198186,35787,445936,254262,Оливер | 10154
,,,Небула | Красный +2 | 6 stars | 130 | 173946,1681,410301,0,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,0,607737,0,Фенрис | 11064
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Маяк (Позиция 5),Поражение,0,Тема (130-781894),,,,,,Alchemists (130-1190903),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Аврора | Красный +2 | 6 stars | 130 | 159694,182564,987273,0,Аксель | 8518,,К'арх | Красный +2 | 6 stars | 130 | 202702,1466220,26030,205106,Мара | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 117005,27457,784606,581300,Оливер | 5834,,Корвус | Красный +2 | 6 stars | 130 | 202376,817197,22129,0,Альбус | 11064
,,,Ясмин | Красный +2 | 6 stars | 130 | 173710,0,250230,0,Альбус | 9428,,Морриган | Красный +2 | 6 stars | 130 | 202558,562438,117698,595879,Аксель | 11064
,,,Фафнир | Красный | 6 stars | 130 | 86212,0,666116,0,Мара | 3973,,Марта | Красный +2 | 6 stars | 130 | 198186,41436,44164,915848,Оливер | 10154
,,,Лара Крофт | Красный | 5 stars | 130 | 100346,0,199066,0,Фенрис | 3973,,Себастьян | Красный +2 | 6 stars | 130 | 203138,0,0,0,Фенрис | 11064
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Бастион Огня (Позиция 4),Победа,+1,NNZ (130-448621),,,,,,Oinari (130-1257448),Увеличение здоровья (120%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Сигурд | 6 stars | 100 | 123844,411152,2059400,0,,,Тенебрис | 6 stars | 130 | 313909,2059400,1383060,0,
,,,Араджи | 4 stars | 100 | 72657,381349,0,0,,,Мор | 6 stars | 130 | 251803,0,0,0,
,,,Молох | 6 stars | 100 | 82906,367578,0,0,,,Молох | 6 stars | 130 | 241997,0,0,0,
,,,Эдем | 5 stars | 100 | 89753,222981,0,0,,,Араджи | 6 stars | 130 | 224845,0,0,0,
,,,Тенебрис | 5 stars | 115 | 79461,0,0,0,,,Игнис | 6 stars | 130 | 224894,0,0,0,

Бастион Огня,Укрепление захвачено,+200
Маяк (Позиция 5),Поражение,0,FEDOR (130-915218),,,,,,Alchemists (130-1190903),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Хайди | Красный +2 | 6 stars | 130 | 165389,673419,317943,0,Каин | 11064,,К'арх | Красный +2 | 6 stars | 130 | 202702,2050800,164523,163094,Мара | 11064
,,,Амира | Красный +2 | 6 stars | 130 | 143855,113424,310531,0,Аксель | 11064,,Морриган | Красный +2 | 6 stars | 130 | 202558,871900,251751,385105,Аксель | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 146295,29911,1092466,395721,Оливер | 9428,,Корвус | Красный +2 | 6 stars | 130 | 202376,605491,241311,0,Альбус | 11064
,,,Астарот | Красный +2 | 6 stars | 130 | 158384,8939,1005572,75220,Бисквит | 4487,,Марта | Красный +2 | 6 stars | 130 | 198186,37909,168108,277210,Оливер | 10154
,,,Фафнир | Красный +2 | 6 stars | 130 | 135173,0,839588,0,Мара | 5285,,Себастьян | Красный +2 | 6 stars | 130 | 203138,0,0,0,Фенрис | 11064
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 166122,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Маяк (Позиция 5),Поражение,0,Бесенок Ната (130-953473),,,,,,Alchemists (130-1190903),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 185488,1236552,551438,99105,Хорус | 10154,,Морриган | Красный +2 | 6 stars | 130 | 202558,1147345,1185658,725559,Аксель | 11064
